Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1410,UDP,Port Scan,Critical,192.168.100.4,10.0.50.132,Malicious
1225,ICMP,Malware Command,High,192.168.100.49,10.0.50.52,Malicious
988,TCP,Data Exfiltration,High,192.168.100.120,10.0.50.9,Malicious
1083,ICMP,SQL Injection,Critical,192.168.100.151,10.0.50.135,Malicious
1140,UDP,Brute Force Login,High,192.168.100.60,10.0.50.200,Malicious
927,TCP,Data Exfiltration,Critical,192.168.100.40,10.0.50.117,Malicious
819,UDP,Data Exfiltration,High,192.168.100.73,10.0.50.72,Malicious
787,UDP,Data Exfiltration,Critical,192.168.100.191,10.0.50.242,Malicious
1337,UDP,SQL Injection,High,192.168.100.111,10.0.50.217,Malicious
949,TCP,Botnet Traffic,High,192.168.100.91,10.0.50.115,Malicious
381,ICMP,ARP Spoofing,Critical,192.168.100.143,10.0.50.201,Malicious
1299,TCP,SQL Injection,High,192.168.100.166,10.0.50.239,Malicious
1296,TCP,Malware Command,Critical,192.168.100.55,10.0.50.132,Malicious
460,ICMP,Data Exfiltration,Critical,192.168.100.124,10.0.50.73,Malicious
564,ICMP,Botnet Traffic,Critical,192.168.100.113,10.0.50.239,Malicious
580,TCP,Unauthorized Access,Critical,192.168.100.194,10.0.50.148,Malicious
234,UDP,Unauthorized Access,High,192.168.100.31,10.0.50.85,Malicious
1283,UDP,Botnet Traffic,Critical,192.168.100.55,10.0.50.75,Malicious
1090,UDP,SQL Injection,Critical,192.168.100.91,10.0.50.79,Malicious
363,ICMP,Unauthorized Access,High,192.168.100.206,10.0.50.75,Malicious
726,ICMP,Suspicious Payload,High,192.168.100.23,10.0.50.143,Malicious
1407,UDP,DDoS SYN Flood,High,192.168.100.87,10.0.50.143,Malicious
982,UDP,Botnet Traffic,Critical,192.168.100.21,10.0.50.6,Malicious
1014,UDP,Brute Force Login,High,192.168.100.28,10.0.50.187,Malicious
1109,ICMP,Data Exfiltration,Critical,192.168.100.135,10.0.50.103,Malicious
1006,ICMP,Brute Force Login,Critical,192.168.100.169,10.0.50.64,Malicious
1156,TCP,Suspicious Payload,Critical,192.168.100.38,10.0.50.50,Malicious
316,UDP,Data Exfiltration,Critical,192.168.100.122,10.0.50.82,Malicious
700,TCP,SQL Injection,High,192.168.100.66,10.0.50.227,Malicious
948,ICMP,ARP Spoofing,Critical,192.168.100.45,10.0.50.54,Malicious
549,TCP,Port Scan,Critical,192.168.100.222,10.0.50.250,Malicious
1242,ICMP,SQL Injection,Critical,192.168.100.53,10.0.50.47,Malicious
1066,TCP,Brute Force Login,High,192.168.100.104,10.0.50.79,Malicious
1257,TCP,ARP Spoofing,High,192.168.100.229,10.0.50.14,Malicious
947,UDP,DDoS SYN Flood,High,192.168.100.30,10.0.50.143,Malicious
416,TCP,DDoS SYN Flood,Critical,192.168.100.180,10.0.50.136,Malicious
1208,ICMP,ARP Spoofing,Critical,192.168.100.170,10.0.50.155,Malicious
1189,UDP,Data Exfiltration,High,192.168.100.240,10.0.50.193,Malicious
382,TCP,Data Exfiltration,Critical,192.168.100.100,10.0.50.130,Malicious
1362,UDP,Port Scan,High,192.168.100.72,10.0.50.125,Malicious
