Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
1171,UDP,Heartbeat Packet,Malicious,172.16.82.59,192.168.228.102
114,ICMP,ARP Spoofing,Normal,172.16.37.22,192.168.73.156
383,TCP,Suspicious Payload,Malicious,172.16.186.146,192.168.254.58
1443,TCP,ARP Spoofing,Malicious,172.16.12.219,192.168.203.237
624,ICMP,Suspicious Payload,Malicious,172.16.60.52,192.168.126.176
827,UDP,Suspicious Payload,Malicious,172.16.194.133,192.168.243.15
79,TCP,DNS Query,Malicious,172.16.160.219,192.168.57.78
59,TCP,Suspicious Payload,Malicious,172.16.42.254,192.168.52.218
85,UDP,Heartbeat Packet,Malicious,172.16.186.53,192.168.76.165
532,ICMP,Data Exfiltration,Normal,172.16.153.197,192.168.233.9
167,UDP,ARP Spoofing,Malicious,172.16.234.142,192.168.225.185
554,ICMP,File Transfer,Normal,172.16.153.148,192.168.163.227
488,UDP,SQL Injection,Malicious,172.16.182.6,192.168.1.245
1403,UDP,Cloud Sync,Normal,172.16.31.204,192.168.74.65
197,TCP,File Transfer,Normal,172.16.74.147,192.168.98.33
564,UDP,Unauthorized Access,Malicious,172.16.22.183,192.168.2.121
149,UDP,Email Transmission,Malicious,172.16.195.186,192.168.12.91
1435,TCP,File Transfer,Normal,172.16.196.177,192.168.5.22
1040,TCP,ARP Spoofing,Normal,172.16.147.62,192.168.234.129
599,TCP,Botnet Traffic,Normal,172.16.59.143,192.168.76.41
313,TCP,Port Scan,Normal,172.16.208.167,192.168.29.54
1009,UDP,SQL Injection,Normal,172.16.52.1,192.168.188.150
1230,TCP,Database Query,Normal,172.16.88.96,192.168.178.160
255,TCP,Suspicious Payload,Normal,172.16.6.205,192.168.94.194
861,UDP,Cloud Sync,Malicious,172.16.226.181,192.168.57.43
1301,TCP,SQL Injection,Normal,172.16.139.62,192.168.132.183
486,TCP,DDoS SYN Flood,Normal,172.16.65.220,192.168.27.212
337,UDP,Malware Command,Normal,172.16.200.105,192.168.252.55
1228,TCP,File Transfer,Malicious,172.16.203.82,192.168.152.131
1415,UDP,Suspicious Payload,Normal,172.16.2.133,192.168.158.109
1411,UDP,Database Query,Malicious,172.16.218.50,192.168.26.236
645,UDP,DDoS SYN Flood,Normal,172.16.62.41,192.168.228.136
1329,ICMP,DDoS SYN Flood,Malicious,172.16.142.116,192.168.98.196
642,TCP,Unauthorized Access,Malicious,172.16.92.107,192.168.231.43
385,UDP,Unauthorized Access,Malicious,172.16.36.73,192.168.51.152
1381,ICMP,API Request,Malicious,172.16.133.36,192.168.115.173
50,TCP,SQL Injection,Normal,172.16.18.43,192.168.126.212
1451,TCP,Heartbeat Packet,Malicious,172.16.184.61,192.168.130.248
423,TCP,API Request,Malicious,172.16.229.234,192.168.33.251
414,TCP,SQL Injection,Normal,172.16.200.48,192.168.95.55
1202,UDP,API Request,Malicious,172.16.129.195,192.168.238.67
1336,UDP,User Login,Malicious,172.16.189.169,192.168.81.57
188,UDP,Web Request,Normal,172.16.202.107,192.168.158.3
501,TCP,Port Scan,Normal,172.16.143.125,192.168.110.170
942,TCP,SQL Injection,Malicious,172.16.25.160,192.168.240.19
